"Local Site Name","State Name","County Name","City Name","CBSA Name","Latitude","Longitude","4th Max Value","4th Max DateTime"
"FAIRHOPE, Alabama","Alabama","Baldwin","Fairhope","Daphne-Fairhope-Foley, AL","30.498001","-87.881412","0.07","2014-08-15 12:00"
"MUSCLE SHOALS","Alabama","Colbert","Muscle Shoals","Florence-Muscle Shoals, AL","34.758781","-87.650562","0.059","2014-08-06 09:00"
"Sand Mountain","Alabama","DeKalb","","Fort Payne, AL","34.2888","-85.9698","0.062","2014-04-21 10:00"
"DBT, WETUMPKA","Alabama","Elmore","Wetumpka","Montgomery, AL","32.498567","-86.136587","0.06","2014-05-04 10:00"
"SOUTHSIDE","Alabama","Etowah","Southside","Gadsden, AL","33.904039","-86.053867","0.059","2014-08-28 10:00"
"DOTHAN","Alabama","Houston","Dothan","Dothan, AL","31.190657","-85.423117","0.059","2014-03-22 10:00"
"North Birmingham","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","33.553056","-86.815","0.065","2014-05-06 09:00"
"","Alabama","Jefferson","Fairfield","Birmingham-Hoover, AL","33.485556","-86.915","0.065","2014-09-08 09:00"
"McAdory","Alabama","Jefferson","","Birmingham-Hoover, AL","33.331111","-87.003611","0.065","2014-08-15 10:00"
"Leeds","Alabama","Jefferson","Leeds","Birmingham-Hoover, AL","33.545278","-86.549167","0.063","2014-05-04 09:00"
"","Alabama","Jefferson","Hoover","Birmingham-Hoover, AL","33.386389","-86.816667","0.062","2014-08-27 09:00"
"","Alabama","Jefferson","","Birmingham-Hoover, AL","33.801667","-86.9425","0.061","2014-04-20 10:00"
"","Alabama","Jefferson","Tarrant (corporate name for Tarrant City)","Birmingham-Hoover, AL","33.578333","-86.773889","0.063","2014-05-06 09:00"
"HUNTSVILLE OLD AIRPORT","Alabama","Madison","Huntsville","Huntsville, AL","34.68767","-86.58637","0.064","2014-04-24 10:00"
"HUNTSVILLE CAPSHAW ROAD","Alabama","Madison","Huntsville","Huntsville, AL","34.772727","-86.756174","0.06","2014-08-05 09:00"
"CHICKASAW","Alabama","Mobile","Chickasaw","Mobile, AL","30.769941","-88.087526","0.068","2014-05-19 10:00"
"BAY ROAD","Alabama","Mobile","Theodore","Mobile, AL","30.474674","-88.14114","0.068","2014-06-12 09:00"
"MOMS, ADEM","Alabama","Montgomery","Montgomery","Montgomery, AL","32.40712","-86.256367","0.062","2014-05-04 10:00"
"DECATUR, Alabama","Alabama","Morgan","Decatur","Decatur, AL","34.518735","-86.976939","0.062","2014-03-27 10:00"
"LADONIA, PHENIX CITY","Alabama","Russell","Ladonia","Columbus, GA-AL","32.467971","-85.083841","0.058","2014-03-11 11:00"
"HELENA","Alabama","Shelby","Helena","Birmingham-Hoover, AL","33.317316","-86.825092","0.063","2014-08-27 09:00"
"Ward, Sumter Co.","Alabama","Sumter","","","32.362706","-88.277954","0.058","2014-05-19 10:00"
"DUNCANVILLE, TUSCALOOSA","Alabama","Tuscaloosa","Tuscaloosa","Tuscaloosa, AL","33.0896","-87.459731","0.057","2014-08-26 10:00"
"","Alaska","Denali","","","63.7232","-148.9676","0.058","2014-04-13 02:00"
"NCORE","Alaska","Fairbanks North Star","Fairbanks","Fairbanks, AK","64.84569","-147.727413","0.044","2014-05-11 10:00"
"Wasilla","Alaska","Matanuska Susitna","Wasilla","Anchorage, AK","61.598796","-149.455255","0.045","2014-05-04 07:00"
"CHIRICAHUA NATIONAL MONUMENT","Arizona","Cochise","","Sierra Vista-Douglas, AZ","32.00941","-109.38906","0.068","2014-06-10 08:00"
"FLAGSTAFF MIDDLE SCHOOL","Arizona","Coconino","Flagstaff","Flagstaff, AZ","35.206111","-111.652777","0.073","2014-06-07 08:00"
"Grand Canyon National Park, The Abyss","Arizona","Coconino","Grand Canyon Village","Flagstaff, AZ","36.05864","-112.18358","0.069","2014-06-02 00:00"
"TONTO NM","Arizona","Gila","Tonto National Monument","Payson, AZ","33.6547","-111.1074","0.072","2014-05-17 11:00"
"ALAMO LAKE","Arizona","La Paz","Wenden","","34.2319","-113.58","0.071","2014-06-05 12:00"
"WEST PHOENIX","Arizona","Maricopa","Phoenix","Phoenix-Mesa-Scottsdale, AZ","33.48385","-112.14257","0.076","2014-07-28 11:00"
"MESA","Arizona","Maricopa","Mesa","Phoenix-Mesa-Scottsdale, AZ","33.41045","-111.86507","0.078","2014-06-09 10:00"
"NORTH PHOENIX","Arizona","Maricopa","Phoenix","Phoenix-Mesa-Scottsdale, AZ","33.56033","-112.06626","0.078","2014-07-28 11:00"
"FALCON FIELD","Arizona","Maricopa","Mesa","Phoenix-Mesa-Scottsdale, AZ","33.45223","-111.73331","0.076","2014-06-07 11:00"
"GLENDALE","Arizona","Maricopa","Glendale","Phoenix-Mesa-Scottsdale, AZ","33.57454","-112.19196","0.071","2014-06-05 12:00"
"PINNACLE PEAK","Arizona","Maricopa","Scottsdale","Phoenix-Mesa-Scottsdale, AZ","33.706328","-111.855622","0.08","2014-06-09 11:00"
"CENTRAL PHOENIX","Arizona","Maricopa","Phoenix","Phoenix-Mesa-Scottsdale, AZ","33.45793","-112.04601","0.071","2014-07-28 11:00"
"SOUTH SCOTTSDALE","Arizona","Maricopa","Scottsdale","Phoenix-Mesa-Scottsdale, AZ","33.47968","-111.91721","0.072","2014-06-09 11:00"
"SOUTH PHOENIX","Arizona","Maricopa","Phoenix","Phoenix-Mesa-Scottsdale, AZ","33.40316","-112.07533","0.073","2014-08-29 11:00"
"WEST CHANDLER","Arizona","Maricopa","Chandler","Phoenix-Mesa-Scottsdale, AZ","33.29898","-111.88431","0.07","2014-08-29 11:00"
"TEMPE","Arizona","Maricopa","Tempe","Phoenix-Mesa-Scottsdale, AZ","33.4124","-111.93473","0.071","2014-09-12 11:00"
"CAVE CREEK","Arizona","Maricopa","Cave Creek","Phoenix-Mesa-Scottsdale, AZ","33.82169","-112.01739","0.074","2014-06-07 10:00"
"DYSART","Arizona","Maricopa","Surprise","Phoenix-Mesa-Scottsdale, AZ","33.63713","-112.34184","0.07","2014-06-05 12:00"
"BUCKEYE","Arizona","Maricopa","Buckeye","Phoenix-Mesa-Scottsdale, AZ","33.37005","-112.6207","0.06","2014-07-28 10:00"
"Fort McDowell/Yuma Frank","Arizona","Maricopa","Fort McDowell","Phoenix-Mesa-Scottsdale, AZ","33.629246","-111.676928","0.062","2014-04-16 10:00"
"St Johns Air Monitoring Site","Arizona","Maricopa","","Phoenix-Mesa-Scottsdale, AZ","33.290229","-112.160597","0.069","2014-08-29 11:00"
"Senior Center Air Monitoring Station","Arizona","Maricopa","Scottsdale","Phoenix-Mesa-Scottsdale, AZ","33.488242","-111.855654","0.073","2014-06-09 11:00"
"Red Mountain Air Monitoring Station","Arizona","Maricopa","Scottsdale","Phoenix-Mesa-Scottsdale, AZ","33.507992","-111.755334","0.08","2014-08-14 10:00"
